age,job,marital,education,balance,housing,loan,y
52,blue-collar,married,secondary,782,yes,no,no
48,blue-collar,married,secondary,904,yes,no,no
48,services,married,unknown,1705,yes,no,no
39,technician,single,tertiary,47,yes,no,no
47,services,single,secondary,176,yes,no,no
40,blue-collar,married,secondary,1225,yes,no,no
45,technician,married,secondary,86,yes,no,no
26,admin.,single,secondary,82,yes,no,no
52,management,married,tertiary,271,yes,no,no
54,technician,married,secondary,1378,yes,no,no
54,admin.,married,tertiary,184,no,no,yes
50,blue-collar,married,primary,0,no,no,no
35,blue-collar,married,secondary,0,yes,no,no
44,services,married,secondary,1357,yes,yes,no
53,entrepreneur,married,unknown,19,yes,no,no
35,retired,single,primary,434,no,no,no
60,admin.,divorced,secondary,92,yes,no,no
53,admin.,divorced,secondary,1151,yes,no,no
48,unemployed,married,secondary,41,yes,no,no
34,technician,married,secondary,51,yes,no,no
54,services,married,secondary,214,yes,no,no
51,management,married,secondary,1161,yes,no,no
31,services,married,tertiary,37,yes,no,no
35,technician,divorced,secondary,787,yes,no,no
35,services,married,secondary,59,yes,no,no
38,technician,married,secondary,253,yes,no,no
36,admin.,married,tertiary,211,yes,no,no
58,retired,married,primary,235,yes,no,no
40,services,divorced,unknown,4384,yes,no,no
54,management,married,secondary,4080,no,no,no
34,blue-collar,single,secondary,53,yes,yes,no
31,management,single,tertiary,0,yes,no,no
51,retired,married,secondary,2127,yes,no,no
33,management,married,tertiary,377,yes,no,no
55,management,married,tertiary,73,yes,no,no
42,admin.,married,secondary,445,yes,no,no
34,blue-collar,married,secondary,243,yes,no,no
33,blue-collar,single,secondary,307,yes,no,no
38,services,married,secondary,155,yes,no,no
50,technician,divorced,tertiary,173,no,yes,no
43,management,married,tertiary,400,yes,no,no
61,blue-collar,divorced,primary,1428,yes,no,no
47,admin.,married,secondary,219,yes,no,no
48,self-employed,married,tertiary,7,yes,no,no
44,blue-collar,married,secondary,575,yes,no,no
35,student,single,unknown,298,yes,no,no
35,services,married,secondary,0,yes,no,no
50,services,married,secondary,5699,yes,no,no
41,management,married,tertiary,176,yes,yes,no
41,management,married,tertiary,517,yes,no,no
39,services,single,unknown,257,yes,no,no
42,retired,married,secondary,56,yes,no,no
38,blue-collar,married,secondary,-390,yes,no,no
53,retired,married,secondary,330,yes,no,no
59,housemaid,divorced,primary,195,no,no,no
36,services,married,secondary,301,yes,no,no
54,blue-collar,married,primary,-41,yes,no,no
40,technician,married,tertiary,483,yes,no,no
47,unknown,married,unknown,28,no,no,no
53,unemployed,married,unknown,13,no,no,no
46,housemaid,married,primary,965,no,no,no
39,management,married,tertiary,378,yes,yes,no
40,unemployed,married,secondary,219,yes,no,no
28,blue-collar,married,primary,324,yes,no,no
35,entrepreneur,divorced,secondary,-69,yes,no,no
55,retired,married,secondary,0,no,yes,no
43,technician,divorced,unknown,205,yes,no,no
48,blue-collar,married,primary,278,yes,no,no
58,management,married,unknown,1065,yes,no,no
33,management,single,tertiary,34,yes,no,no
36,blue-collar,married,unknown,1033,no,no,no
53,services,divorced,secondary,1467,yes,no,no
47,blue-collar,married,primary,-12,yes,no,no
31,services,married,secondary,388,yes,no,no
57,entrepreneur,married,secondary,294,yes,no,no
53,blue-collar,married,unknown,1827,no,no,no
55,blue-collar,married,primary,627,yes,no,no
45,blue-collar,married,primary,25,yes,no,no
53,admin.,divorced,secondary,315,yes,no,no
37,blue-collar,married,primary,0,yes,no,no
44,admin.,divorced,secondary,66,yes,no,no
49,blue-collar,divorced,primary,-9,yes,yes,no
46,technician,married,secondary,349,yes,yes,no
43,entrepreneur,married,unknown,100,yes,no,no
38,admin.,married,secondary,0,no,no,no
43,technician,married,secondary,434,yes,no,no
49,management,married,tertiary,3237,yes,no,no
42,management,married,unknown,275,no,no,no
22,blue-collar,single,secondary,0,yes,no,no
40,management,married,tertiary,207,yes,no,no
39,blue-collar,married,secondary,483,yes,no,no
51,services,married,secondary,2248,yes,no,no
49,admin.,married,secondary,428,yes,no,no
53,blue-collar,married,secondary,0,yes,yes,no
34,services,single,secondary,0,yes,no,no
33,technician,divorced,secondary,140,yes,no,no
50,management,single,tertiary,297,yes,no,no
39,blue-collar,married,primary,279,yes,no,no
59,entrepreneur,divorced,secondary,901,yes,no,no
30,technician,single,secondary,2573,yes,no,no
36,services,married,secondary,143,yes,yes,no
40,blue-collar,married,secondary,475,yes,no,no
53,blue-collar,married,secondary,70,yes,no,no
34,management,single,tertiary,318,yes,no,no
37,technician,married,secondary,275,yes,no,no
42,management,divorced,tertiary,742,yes,no,no
41,entrepreneur,married,primary,236,yes,no,no
30,student,single,tertiary,25,yes,no,no
37,management,single,tertiary,600,yes,no,no
39,admin.,divorced,secondary,-349,yes,no,no
41,blue-collar,married,primary,183,yes,yes,no
40,blue-collar,married,primary,0,yes,no,no
42,management,single,tertiary,0,yes,yes,yes
40,blue-collar,divorced,primary,0,yes,no,no
57,technician,married,secondary,1078,yes,no,no
56,entrepreneur,divorced,secondary,155,no,no,no
37,admin.,married,secondary,190,yes,no,no
59,retired,married,secondary,319,yes,no,no
39,services,divorced,secondary,-185,yes,no,no
49,services,married,secondary,47,no,no,no
38,services,single,secondary,570,yes,no,no
36,self-employed,married,tertiary,19,no,no,no
50,blue-collar,married,primary,61,yes,no,no
41,admin.,married,secondary,-62,yes,yes,no
54,technician,married,tertiary,258,no,no,no
58,blue-collar,married,primary,76,yes,no,no
30,blue-collar,single,secondary,0,yes,no,no
33,,single,secondary,352,yes,no,no
47,admin.,married,secondary,368,yes,no,no
50,technician,single,tertiary,339,yes,no,no
32,blue-collar,married,secondary,1331,yes,no,no
40,self-employed,married,secondary,672,yes,no,no
37,management,married,tertiary,58,yes,no,no
54,technician,single,unknown,447,yes,no,no
24,student,single,secondary,423,yes,no,no
54,management,married,tertiary,0,no,no,no
34,technician,married,secondary,19,yes,no,no
56,technician,divorced,primary,13,yes,no,no
31,blue-collar,single,secondary,3,yes,no,no
24,student,single,secondary,82,yes,no,no
42,blue-collar,divorced,primary,28,yes,no,no
57,technician,married,secondary,792,yes,no,no
42,blue-collar,married,unknown,408,yes,no,no
51,admin.,married,secondary,531,yes,no,no
57,retired,married,secondary,211,yes,no,no
36,services,single,secondary,62,yes,no,no
53,services,married,unknown,257,yes,no,no
50,technician,married,secondary,1234,yes,no,no
54,management,married,tertiary,313,yes,no,no
55,blue-collar,married,secondary,89,yes,no,no
44,blue-collar,married,secondary,129,yes,yes,no
43,management,married,unknown,0,yes,no,no
56,admin.,married,secondary,353,yes,no,no
54,technician,married,unknown,851,yes,no,no
55,services,divorced,primary,96,yes,yes,no
37,services,divorced,secondary,398,yes,yes,no
33,admin.,single,tertiary,193,no,no,no
46,admin.,married,secondary,-358,yes,no,no
36,blue-collar,married,secondary,539,yes,yes,no
51,technician,single,secondary,0,yes,no,no
40,retired,single,primary,0,no,no,no
42,blue-collar,married,secondary,490,yes,no,no
51,blue-collar,married,secondary,0,yes,no,no
49,blue-collar,married,unknown,403,yes,no,no
48,management,married,secondary,161,yes,no,no
32,technician,divorced,tertiary,2558,no,no,no
31,admin.,single,secondary,98,yes,no,no
55,management,single,tertiary,115,no,no,no
40,blue-collar,single,secondary,436,yes,no,no
47,technician,married,tertiary,831,yes,no,no
57,technician,married,unknown,206,yes,no,no
41,blue-collar,married,secondary,290,yes,no,no
48,blue-collar,married,secondary,1,no,no,no
42,blue-collar,married,unknown,57,yes,no,no
30,blue-collar,single,secondary,-457,yes,no,no
58,management,single,tertiary,1387,yes,no,no
45,management,divorced,tertiary,24598,yes,no,no
49,blue-collar,married,secondary,30,yes,no,no
42,admin.,single,secondary,1022,yes,no,no
53,technician,married,secondary,56,yes,yes,no
51,admin.,single,secondary,-2,no,no,no
32,services,single,secondary,121,yes,no,no
41,blue-collar,single,secondary,842,yes,no,no
43,management,divorced,secondary,693,yes,no,no
40,blue-collar,divorced,secondary,-333,yes,no,no
50,blue-collar,married,primary,1533,yes,no,no
34,management,married,tertiary,46,yes,no,no
53,services,married,unknown,18,no,no,no
45,technician,married,secondary,44,yes,no,no
39,blue-collar,married,primary,-100,yes,no,no
44,services,married,tertiary,510,yes,no,no
55,management,married,tertiary,685,yes,no,no
46,management,single,tertiary,187,yes,no,no
45,blue-collar,married,secondary,66,yes,no,no
34,admin.,married,secondary,560,yes,no,no
36,blue-collar,married,secondary,0,yes,no,no
59,unknown,divorced,unknown,27,no,no,no
31,admin.,single,secondary,12,yes,no,no
44,blue-collar,single,secondary,34,yes,no,no
33,entrepreneur,single,tertiary,1068,yes,no,no
40,blue-collar,married,secondary,211,yes,no,no
46,admin.,single,tertiary,377,yes,no,no
48,management,married,tertiary,263,yes,no,no
42,services,married,secondary,1263,yes,no,no
27,services,married,secondary,8,yes,no,no
48,admin.,married,secondary,126,yes,yes,no
59,admin.,married,secondary,230,yes,no,no
46,technician,married,tertiary,841,yes,no,no
38,admin.,divorced,secondary,308,yes,no,no
43,management,divorced,tertiary,1,yes,no,no
38,admin.,divorced,tertiary,86,yes,no,no
23,student,single,secondary,157,yes,no,no
34,services,married,secondary,22,yes,no,no
38,admin.,married,secondary,46,yes,yes,no
37,blue-collar,married,secondary,1293,no,no,no
25,admin.,single,secondary,122,yes,no,no
48,blue-collar,married,unknown,131,yes,no,no
49,blue-collar,single,secondary,143,yes,no,no
38,admin.,single,secondary,393,no,no,no
43,blue-collar,married,primary,98,yes,no,no
33,management,married,tertiary,0,yes,no,no
55,blue-collar,married,secondary,224,yes,no,no
38,blue-collar,married,secondary,757,yes,no,no
49,services,married,secondary,245,yes,yes,no
40,management,married,secondary,8486,no,no,no
43,admin.,married,unknown,350,no,no,no
38,blue-collar,married,secondary,20,yes,no,no
58,services,married,secondary,1667,yes,yes,no
57,technician,married,unknown,345,yes,no,no
32,unemployed,married,secondary,10,yes,no,no
56,management,married,tertiary,830,yes,yes,yes
58,blue-collar,divorced,unknown,29,yes,no,no
60,retired,divorced,secondary,545,yes,no,yes
37,technician,married,tertiary,8730,yes,no,no
46,technician,divorced,tertiary,477,yes,no,no
27,admin.,married,secondary,4,yes,no,no
43,blue-collar,married,secondary,1205,yes,no,no
32,technician,single,secondary,0,yes,yes,no
40,admin.,single,secondary,263,yes,no,no
38,admin.,married,secondary,1,no,no,no
34,blue-collar,married,secondary,283,no,yes,no
47,blue-collar,married,primary,206,yes,no,no
42,housemaid,married,primary,17,yes,no,no
48,technician,married,secondary,141,yes,yes,no
29,self-employed,single,tertiary,16,yes,no,no
50,services,married,secondary,206,yes,no,no
52,technician,married,unknown,7,no,no,no
50,management,married,tertiary,0,no,no,no
58,retired,married,tertiary,0,no,no,no
46,blue-collar,divorced,primary,1927,yes,no,no
38,technician,married,secondary,284,yes,no,no
46,,married,secondary,1660,yes,no,no
32,services,single,secondary,406,yes,no,no
51,blue-collar,married,primary,230,yes,no,no
39,admin.,single,secondary,-25,yes,no,no
48,admin.,married,secondary,182,yes,no,no
36,entrepreneur,married,tertiary,1169,yes,no,no
34,admin.,divorced,secondary,67,yes,no,no
40,technician,married,secondary,77,no,no,no
43,unemployed,married,secondary,0,yes,no,no
52,blue-collar,divorced,primary,55,yes,yes,no
33,technician,married,secondary,72,yes,no,no
49,management,single,tertiary,163,yes,no,no
32,management,single,tertiary,151,yes,no,no
39,admin.,single,secondary,113,yes,no,no
40,blue-collar,married,secondary,0,yes,no,no
38,technician,single,tertiary,9,yes,no,no
43,management,married,secondary,375,yes,no,no
39,services,married,secondary,1142,yes,no,no
54,blue-collar,married,primary,2102,yes,no,no
38,technician,single,tertiary,4325,yes,no,no
40,blue-collar,married,secondary,217,yes,no,no
55,admin.,married,secondary,131,yes,no,no
42,management,married,tertiary,1680,yes,no,no
39,blue-collar,married,secondary,0,yes,no,no
40,blue-collar,married,primary,46,yes,no,no
32,blue-collar,married,secondary,320,yes,no,no
55,admin.,married,secondary,183,yes,no,no
45,blue-collar,married,secondary,39,no,no,no
35,management,single,tertiary,560,yes,no,no
58,technician,divorced,secondary,469,no,no,no
35,admin.,married,secondary,530,yes,no,no
49,services,married,primary,61,yes,no,no
34,technician,single,tertiary,242,yes,no,no
36,blue-collar,married,secondary,139,yes,no,no
24,self-employed,single,secondary,0,yes,no,no
34,technician,married,secondary,367,yes,no,no
51,admin.,divorced,secondary,228,yes,no,no
39,technician,single,unknown,45248,yes,no,yes
50,self-employed,married,unknown,-84,yes,no,no
32,services,single,secondary,310,yes,no,no
42,blue-collar,married,unknown,132,yes,no,no
50,technician,married,secondary,797,yes,no,no
40,services,married,secondary,71,no,no,no
46,management,divorced,unknown,2,yes,no,no
37,management,married,tertiary,231,yes,yes,no
34,blue-collar,married,secondary,270,yes,yes,no
44,blue-collar,married,secondary,274,yes,yes,no
40,admin.,single,secondary,-109,yes,yes,no
37,technician,married,secondary,1,yes,no,yes
33,blue-collar,single,secondary,-60,no,no,no
35,blue-collar,married,secondary,89,yes,no,no
58,blue-collar,divorced,secondary,-11,no,no,no
39,blue-collar,married,primary,0,yes,no,no
43,blue-collar,married,secondary,-509,yes,no,no
39,unemployed,married,primary,408,yes,no,no
36,services,single,primary,58,yes,no,no
57,retired,single,secondary,1640,no,yes,no
36,admin.,single,secondary,20,yes,no,no
50,blue-collar,married,primary,71,yes,no,no
55,blue-collar,married,secondary,52,yes,no,no
44,self-employed,married,tertiary,292,yes,no,no
44,services,divorced,secondary,424,yes,no,no
39,housemaid,single,primary,109,yes,no,no
46,blue-collar,married,unknown,1044,yes,no,no
39,blue-collar,married,secondary,983,yes,no,no
34,admin.,married,secondary,869,no,no,yes
40,blue-collar,married,primary,668,yes,no,no
50,management,married,tertiary,964,yes,no,no
31,management,single,secondary,301,yes,no,no
37,admin.,single,secondary,140,yes,no,no
39,management,single,secondary,1877,yes,no,no
51,blue-collar,married,primary,1127,yes,no,no
41,technician,married,secondary,871,yes,no,no
41,technician,married,secondary,767,yes,yes,no
43,blue-collar,married,secondary,0,no,no,no
30,services,single,secondary,209,yes,no,no
54,management,divorced,primary,0,no,no,no
43,blue-collar,divorced,secondary,110,yes,yes,no
59,management,divorced,tertiary,-76,yes,yes,no
47,technician,married,unknown,178,yes,no,no
40,blue-collar,married,primary,-66,yes,no,no
32,technician,married,secondary,0,yes,no,no
29,blue-collar,married,secondary,1,yes,no,no
36,blue-collar,married,secondary,0,yes,no,no
55,unemployed,married,tertiary,5345,no,no,no
30,blue-collar,divorced,secondary,-209,yes,no,no
39,admin.,single,secondary,0,yes,no,no
39,blue-collar,divorced,secondary,42,yes,no,no
50,blue-collar,divorced,secondary,41,yes,no,no
44,blue-collar,married,secondary,-99,yes,no,no
0,technician,single,secondary,17,yes,no,no
46,admin.,married,primary,276,yes,yes,no
32,technician,single,unknown,-170,no,no,no
37,management,single,tertiary,230,yes,yes,no
29,blue-collar,married,secondary,9,yes,no,no
41,blue-collar,married,secondary,946,yes,no,no
45,blue-collar,married,primary,1297,yes,no,no
57,retired,divorced,secondary,-331,yes,no,no
48,blue-collar,single,secondary,44,yes,no,no
60,retired,married,secondary,15,no,no,no
26,admin.,single,secondary,712,yes,no,no
58,retired,married,secondary,5435,yes,no,no
34,admin.,married,secondary,507,yes,no,no
55,unemployed,divorced,secondary,387,yes,no,yes
41,blue-collar,married,primary,0,yes,yes,no
50,management,divorced,secondary,1716,yes,no,no
49,entrepreneur,married,secondary,167,yes,yes,no
44,admin.,married,unknown,40,no,yes,no
44,blue-collar,married,primary,148,yes,no,no
31,technician,married,secondary,17,yes,yes,no
34,blue-collar,single,tertiary,1011,yes,no,no
46,management,single,unknown,1527,yes,no,no
42,management,married,tertiary,-99999,no,no,no
52,admin.,married,secondary,484,yes,no,no
29,management,single,tertiary,0,yes,no,no
53,retired,married,primary,136,yes,no,no
43,blue-collar,married,secondary,1335,yes,no,no
38,management,married,secondary,517,yes,no,no
46,management,married,tertiary,459,yes,no,no
48,management,divorced,unknown,549,yes,no,no
30,admin.,divorced,secondary,83,yes,yes,no
44,blue-collar,married,primary,213,no,no,no
31,housemaid,married,primary,203,yes,no,no
42,services,single,secondary,518,yes,no,no
40,management,single,tertiary,3877,yes,no,no
52,admin.,married,secondary,1236,yes,no,no
45,blue-collar,divorced,secondary,756,yes,no,no
48,blue-collar,married,secondary,157,yes,no,no
45,blue-collar,married,primary,-66,yes,no,no
34,blue-collar,married,unknown,245,yes,no,no
34,blue-collar,married,primary,-144,yes,no,no
46,blue-collar,married,secondary,71,yes,no,no
49,services,divorced,secondary,505,yes,no,no
50,technician,married,primary,249,yes,no,no
34,admin.,single,secondary,0,yes,no,no
40,unemployed,single,secondary,11,yes,no,no
36,admin.,married,secondary,639,yes,no,no
59,blue-collar,divorced,unknown,124,yes,no,no
45,blue-collar,married,secondary,82,yes,no,no
36,self-employed,married,tertiary,107,yes,no,no
56,services,married,secondary,473,yes,no,no
42,services,divorced,secondary,372,yes,yes,no
30,admin.,married,secondary,46,yes,no,no
30,student,single,tertiary,34,yes,no,no
47,self-employed,married,unknown,935,yes,no,no
33,blue-collar,married,secondary,-10,yes,no,no
36,admin.,married,secondary,-106,yes,no,no
39,services,divorced,primary,471,yes,no,no
56,admin.,divorced,secondary,778,yes,no,no
39,blue-collar,divorced,unknown,170,yes,no,no
42,technician,married,secondary,315,yes,no,no
52,blue-collar,married,secondary,3165,no,no,no
36,admin.,divorced,secondary,131,yes,no,no
35,entrepreneur,married,secondary,204,yes,no,no
47,technician,married,secondary,83,yes,no,no
59,services,divorced,secondary,0,yes,yes,no
57,blue-collar,married,primary,5431,yes,yes,no
38,management,married,unknown,1759,yes,no,no
46,unemployed,married,secondary,-125,yes,no,no
34,blue-collar,married,secondary,0,no,no,no
28,services,single,secondary,5090,yes,no,yes
38,technician,married,unknown,573,yes,no,no
56,blue-collar,married,secondary,1602,yes,no,no
41,blue-collar,single,primary,-137,yes,yes,no
52,technician,married,unknown,0,no,no,no
54,services,married,secondary,193,no,no,no
61,retired,married,secondary,195,yes,yes,no
53,entrepreneur,married,secondary,288,no,no,no
47,technician,married,secondary,19,yes,no,no
53,blue-collar,married,primary,25,yes,no,no
46,services,married,secondary,216,yes,no,no
39,blue-collar,divorced,primary,190,yes,yes,no
56,technician,divorced,secondary,99,yes,no,no
55,services,divorced,primary,2298,yes,no,no
44,management,married,tertiary,17,yes,no,no
37,technician,married,primary,0,yes,no,no
35,blue-collar,married,primary,0,yes,no,no
55,blue-collar,married,secondary,840,yes,no,no
37,services,married,secondary,358,yes,no,no
30,technician,single,secondary,0,yes,no,no
37,blue-collar,married,primary,-325,yes,yes,no
36,technician,single,secondary,-15,yes,no,no
38,technician,married,secondary,581,yes,no,no
41,admin.,divorced,primary,4070,yes,no,no
48,retired,married,secondary,74,no,yes,no
55,services,divorced,secondary,141,yes,no,no
28,services,divorced,secondary,89,no,no,no
54,services,married,secondary,0,yes,no,no
30,blue-collar,married,secondary,450,no,no,no
48,technician,married,tertiary,310,no,no,no
31,self-employed,married,secondary,0,yes,no,no
38,blue-collar,married,secondary,384,yes,no,no
37,blue-collar,married,secondary,395,yes,no,no
37,,single,unknown,-118,yes,no,no
56,blue-collar,married,primary,5,yes,yes,no
51,blue-collar,married,secondary,50,yes,yes,no
39,blue-collar,married,secondary,285,yes,yes,no
49,technician,married,unknown,15,no,no,no
51,blue-collar,married,primary,653,yes,yes,no
43,self-employed,married,secondary,918,yes,no,no
32,services,married,secondary,243,yes,yes,no
29,technician,single,tertiary,405,yes,no,no
48,management,divorced,tertiary,1328,yes,no,no
55,services,married,primary,255,yes,no,no
53,blue-collar,married,secondary,3397,yes,no,no
47,technician,married,unknown,2106,yes,no,no
39,management,married,tertiary,2877,yes,no,no
31,blue-collar,single,tertiary,60,yes,yes,no
39,blue-collar,married,primary,2226,yes,no,no
40,blue-collar,married,primary,2880,yes,no,no
40,technician,single,unknown,-5,yes,no,no
48,technician,married,secondary,147,no,no,no
33,technician,divorced,secondary,7,yes,yes,no
40,technician,married,secondary,109,yes,no,no
59,retired,married,primary,-119,yes,no,no
30,technician,married,secondary,484,yes,no,yes
31,management,single,tertiary,1852,yes,no,no
35,unemployed,married,secondary,533,yes,no,no
54,technician,divorced,secondary,21,yes,no,no
34,admin.,single,unknown,2434,yes,no,no
32,technician,married,secondary,90,yes,yes,no
56,admin.,divorced,unknown,4246,yes,no,no
32,admin.,single,tertiary,395,yes,no,no
42,blue-collar,married,primary,15,yes,no,no
33,services,married,tertiary,85,no,no,no
52,entrepreneur,married,tertiary,-184,yes,yes,no
52,services,married,secondary,660,no,no,no
52,blue-collar,divorced,primary,-183,yes,no,no
30,unemployed,divorced,secondary,1144,yes,no,no
44,services,divorced,secondary,1,yes,no,no
35,admin.,married,secondary,69,yes,yes,no
55,management,single,secondary,220,yes,no,no
33,blue-collar,married,primary,332,yes,no,no
37,blue-collar,single,secondary,240,yes,no,no
42,technician,single,secondary,0,yes,no,no
43,unemployed,married,secondary,0,yes,no,no
38,entrepreneur,married,tertiary,898,yes,no,no
37,technician,married,secondary,123,yes,yes,no
31,student,single,secondary,252,yes,no,no
41,management,married,tertiary,65,yes,no,no
